name,domain,city,countryCode,creatioLastActivityDisplayTimestamp,creatioLastContactDisplayTimestamp,creatioOwner,creatioStatus,creatioTeam,crunchbaseCategoryList,currentEmployeeCount,employeeCountGrowth,state,totalFunding
Amenify,amenify.com,San Francisco,USA,2026-01-28T15:24:40.732000,2026-02-09T11:17:00,Cassidy Piersiak,S2,I&C,"Consumer,Home Services,Marketplace,Payments,Property Management",167,94.0,California,18300000
Amherst Intelligent Security,amherstintelligentsecurity.com,Boston,USA,2026-02-06T10:18:51.655000,2026-02-06T10:18:51.655000,Trevor Eckler,C,SW,"Artificial Intelligence (AI),Security,Software",8,0.0,Massachusetts,20000
Amplify,amplify.xyz,San Francisco,USA,2026-02-02T15:28:36.484000,2026-02-02T15:28:36.484000,Nikki Schwenk,A,SW,"B2B,SaaS,Software",46,35.0,California,1735025
Anagram,anagramsecurity.com,New York,USA,2026-01-29T13:06:51.559000,2026-01-29T13:06:51.559000,Chad Kemmerer,A,SW,"Artificial Intelligence (AI),Information Technology,Security",12,1100.0,New York,10000000
Anervea.AI,anervea.ai,Orlando,USA,2026-02-05T13:18:55.787526,2026-01-29T14:43:41.637000,None,B,None,"Artificial Intelligence (AI),Biopharma,Biotechnology,Clinical Trials,Data Integration,Data Management,Health Care,Life Science,Pharmaceutical,SaaS",44,-2.0,Florida,
Anima,animaapp.com,Tel Aviv-Yafo,ISR,2026-01-29T09:38:56.510000,2026-01-29T09:38:56.510000,Michael Brannan,B,SW,"Developer Tools,Information Technology,Internet,Product Design,Software,Web Design",45,2.0,Tel Aviv,12620000
Anodet Inc.,anodet.com,New York,USA,2026-02-06T13:15:48.240726,2026-02-06T13:15:12.816000,None,B,None,"Information Services,Information Technology,Internet",9,200.0,New York,2999998
Anya,anya.health,Kemble,GBR,2026-01-28T10:57:06.340000,2026-01-28T10:57:06.340000,None,C,None,"3D Technology,Artificial Intelligence (AI),Machine Learning,Software",68,21.0,Gloucestershire,1428460
Apify,apify.com,Prague,CZE,2026-02-03T10:37:41.517000,2026-02-03T10:37:41.517000,Trevor Eckler,S3,SW,"E-Commerce,Enterprise Software,Information Technology,Internet,Software",186,50.0,Praha,3486941
Apporto,apporto.com,Palo Alto,USA,2026-01-29T20:47:12.763000,2026-01-29T20:47:12.763000,Trevor Eckler,B,SW,"Apps,Information Technology",34,0.0,California,
Arclet,arclet.com,Asheville,USA,2026-02-06T13:20:04.653667,2026-02-06T12:58:34.253000,None,B,None,"Health Care,Public Safety",7,0.0,North Carolina,
Arcus Power Corp,arcuspower.com,Calgary,CAN,2026-01-29T15:19:55.167000,2026-01-29T15:19:55.167000,Justin Chung,B,SW,"Energy,Energy Management,Internet,SaaS",38,9.0,Alberta,8680000
Arima,arimadata.com,Toronto,CAN,2026-02-04T11:08:50.942000,2026-02-04T11:08:50.942000,Ella Steinhilber,S2,SW,"Artificial Intelligence (AI),Information Technology,Software",40,38.0,Ontario,2608725
Miso,askmiso.com,San Francisco,USA,2026-02-02T12:35:25.950653,2026-02-01T00:00:00,None,S2,None,"Information Technology,UX Design",29,107.0,California,8341000
Vinny,askvinny.com,London,GBR,2026-01-29T14:09:00,2026-01-29T11:36:41.984000,Ainsley Radell,C,I&C,"Artificial Intelligence (AI),Property Management,Real Estate,Software",19,73.0,"London, City of",150424
Aspireship,aspireship.com,Scottsdale,USA,2026-02-06T13:35:31.300000,2026-02-06T13:35:31.300000,None,C,None,"E-Learning,Education,Human Resources,SaaS,Software,Training",23,15.0,Arizona,2856000
AthenaHQ,athenahq.ai,San Francisco,USA,2026-02-02T08:42:45.044000,2026-02-02T08:42:45.044000,James McGibbon,A+,SW,"Artificial Intelligence (AI),Generative AI,Marketing,Search Engine,SEO,Software",14,1300.0,California,2700000
Atominvest,atominvest.co,London,GBR,2026-02-03T11:09:45.180000,2026-02-03T11:09:45.180000,Trevor Eckler,S3,SW,"Asset Management,Enterprise Software,FinTech,Venture Capital",35,21.0,"London, City of",
Atorus,atorusresearch.com,Newtown Square,USA,2026-02-05T13:39:02.566000,2026-02-05T12:34:46.591000,Chad Kemmerer,S3,SW,"Analytics,Information Technology,Pharmaceutical",182,21.0,Pennsylvania,
Attuned Intelligence,attuned-intelligence.com,Orlando,USA,2026-02-05T15:04:55.019065,2026-01-28T15:31:02.596000,Hannah Ditmars,C,SW,"Artificial Intelligence (AI),Consulting,Health Care",11,38.0,Florida,13000000
Authorium,authorium.com,San Francisco,USA,2026-02-05T09:50:30.542000,2026-02-02T13:16:32.655000,Ainsley Radell,B,I&C,"Consulting,Government,Information Technology,Software",55,2.0,California,20000000
Automated Analytics,automatedanalytics.co,Tampa,USA,2026-02-05T11:38:01.228000,2026-02-05T11:38:01.228000,Justin Chung,S2,SW,"Analytics,Artificial Intelligence (AI),Software",20,-13.0,Florida,1355700
Autonoma,autonoma.ai,None,None,2026-01-30T08:55:51.915000,2026-01-30T08:55:51.915000,Nikki Schwenk,A,SW,None,,,,
Avala AI,avala.ai,San Francisco,USA,2026-01-29T16:48:06.298000,2026-01-29T16:48:06.298000,Trevor Eckler,S2,SW,Virtual Workforce,127,95.0,California,4600000
Avenia,avenia.io,São Paulo,BRA,2026-01-29T15:51:39.974000,2026-01-29T15:51:39.974000,Chad Kemmerer,C,SW,"Blockchain,Finance,Financial Services",19,58.0,São Paulo,2697096
Avtal,avtal.com,Austin,None,2026-01-30T08:51:01.457000,2026-01-30T08:51:01.457000,Danielle Brown,S2,I&C,"Financial Services,Online Portals,Payments",14,,Texas,
Awaken Tax,awaken.tax,San Francisco,USA,2026-02-04T19:45:02.873000,2026-02-04T19:45:02.873000,Sinjon Goldberg,B,SW,"Cryptocurrency,Software,Web3",11,120.0,California,400000
Ayble Health,ayblehealth.com,Boston,USA,2026-01-28T14:13:06.308000,2026-01-28T14:13:06.308000,Carolyn Woll,B,I&C,"Health Care,Personal Health",27,-4.0,Massachusetts,4625000
Bamboo,bamboopaymentsystems.com,Montevideo,URY,2026-01-28T10:04:51.558000,2026-01-28T10:04:51.558000,Carolyn Woll,B,I&C,"E-Commerce,Mobile Payments,Payments",139,49.0,Montevideo,
Batbox,batbox.com,Addison,USA,2026-02-05T10:26:07.309000,2026-02-04T16:34:31.333000,Juliet Fitzgerald,A,I&C,"Leisure,Recreation,Sports",24,71.0,Texas,7300000
BCI,bci.ca,Victoria,CAN,2026-01-28T13:48:00,2026-01-28T13:48:00,Larry Cheng,None,I&C,"Banking,Consulting,Finance,Personal Finance,Venture Capital",1922,14.0,British Columbia,2690000000
Beezi,beezi.ai,Houston,USA,2026-02-03T09:18:14.030000,2026-02-03T09:18:14.030000,Nikki Schwenk,C,SW,None,11,0.0,Texas,
Bento,bento.net,Boston,USA,2026-02-03T16:11:24.264000,2026-02-03T16:11:24.264000,Ella Steinhilber,C,SW,"Dental,FinTech,Insurance,Web Development",43,8.0,Massachusetts,10230518
Bespoke Metrics,bespokemetrics.com,Toronto,CAN,2026-01-28T17:14:59.587000,2026-01-28T17:14:59.587000,Nikki Schwenk,S3,SW,"Analytics,Big Data,Data Management,Software",70,25.0,Ontario,
BeyondMath,beyondmath.com,Cambridge,GBR,2026-01-29T10:45:52.873000,2026-01-29T10:45:52.873000,Nikki Schwenk,B,SW,Artificial Intelligence (AI),21,24.0,Cambridgeshire,10310907
Bidbus,bidbus.com,Los Angeles,USA,2026-02-02T08:25:36.393276,2026-01-28T18:27:28.914000,Ainsley Radell,S2,I&C,"Artificial Intelligence (AI),Automotive,E-Commerce Platforms,Marketplace",11,57.0,California,3300000
BIG HAPPY,bighappy.co,New York,USA,2026-01-29T17:05:32.677000,2026-01-29T17:05:32.677000,Ainsley Radell,S2,I&C,"Advertising Platforms,Mobile Advertising",113,43.0,New York,3775000
Bikky,bikky.com,New York,USA,2026-01-30T14:50:07.681000,2026-01-30T14:50:07.681000,Trevor Eckler,B,SW,"Restaurants,SaaS",37,32.0,New York,14150000
Bipsync,bipsync.com,New York,USA,2026-01-30T12:05:46.205000,2026-01-30T12:05:46.205000,Michael Brannan,A,SW,"Computer,Enterprise Software,FinTech,Software",74,17.0,New York,13214776
bïrch (ex Revealbot),bir.ch,New York,USA,2026-01-29T18:38:40.104499,2026-01-28T11:32:29.046000,Hannah Ditmars,S2,SW,None,36,50.0,New York,100000
bitdrift,bitdrift.io,San Francisco,USA,2026-02-02T16:35:53.704000,2026-02-02T16:33:31.407000,Nikki Schwenk,B,SW,"Infrastructure,Internet,Software",20,400.0,California,15000000
Bitfount,bitfount.com,London,GBR,2026-02-05T10:53:44.240372,2026-01-28T10:39:26.370000,None,C,None,"Analytics,Artificial Intelligence (AI),Big Data,Collaboration,Information Services,Information Technology,Machine Learning,Software",28,27.0,"London, City of",13000000
BizScout,bizscout.com,Austin,USA,2026-01-29T16:21:11.960000,2026-01-29T16:21:11.960000,Ainsley Radell,C,I&C,"Online Portals,Trading Platform,Transaction Processing",17,325.0,Texas,4900000
Blanket,blankethomes.com,Miami,USA,2026-01-29T09:20:27.814000,2026-01-29T09:20:27.814000,Ainsley Radell,A,I&C,"Property Management,Real Estate,Real Estate Investment,Rental Property",51,70.0,Florida,6500000
Bliro,bliro.io,Munich,GER,2026-01-29T13:15:32.047000,2026-01-29T13:15:32.047000,Trevor Eckler,B,SW,"Artificial Intelligence (AI),Software,Virtual Assistant",21,320.0,Bavaria,3436228
Bloop,bloop.eu,Lisbon,PRT,2026-01-29T00:00:00,2026-01-29T00:00:00,Cassidy Piersiak,B,I&C,"E-Commerce,E-Commerce Platforms,Marketplace,Retail Technology,Social Shopping",21,50.0,Lisboa,1369885
BlueCheck Inc.,bluecheck.me,Austin,USA,2026-01-28T14:48:32.542000,2026-01-28T14:48:32.542000,Ainsley Radell,B,I&C,"Computer,E-Commerce,E-Commerce Platforms,Finance,Software",11,0.0,Texas,435000
Bond,bondapp.io,San Francisco,USA,2026-02-04T09:58:10.491000,2026-02-04T09:58:10.491000,Cassidy Piersiak,B,I&C,"Artificial Intelligence (AI),B2B,SaaS",7,40.0,California,500000
Boop,boopwithme.com,Seattle,USA,2026-02-04T14:38:47.015000,2026-01-29T16:26:04.958000,Cassidy Piersiak,A,I&C,Information Technology,9,13.0,Washington,3500000
Born (previously Slay),born.com,York,USA,2026-02-03T17:21:36.846533,2026-02-03T00:00:00,Cassidy Piersiak,S3,I&C,"Beauty,Consumer Goods,E-Commerce,Fast-Moving Consumer Goods,Information Technology,Interior Design,Marketplace,Product Design,Retail Technology,Sporting Goods",76,12.0,New York,6000000
Bourn,bourn.ai,London,GBR,2026-02-02T15:48:55.128000,2026-02-02T15:48:55.128000,Zane Salameh,B,I&C,"B2B,Embedded Software,Finance",17,143.0,"London, City of",6525553
Bracket,bracket.co.uk,London,GBR,2026-02-04T11:48:29.142000,2026-02-04T11:48:29.142000,James McGibbon,B,SW,None,20,25.0,"London, City of",2513801
BranchLab,branchlab.com,New York,USA,2026-01-30T12:06:07.107000,2026-01-30T12:06:07.107000,Carolyn Woll,S2,I&C,"Advertising,Artificial Intelligence (AI),Health Care,Marketing",32,45.0,New York,
Bravi,bravi.app,Paris,FRA,2026-01-30T09:33:46.058000,2026-01-30T09:33:46.058000,Zane Salameh,B,I&C,"Artificial Intelligence (AI),B2B,Business Process Automation (BPA),CRM,Enterprise Applications,Home Services,Information Technology,Lead Generation,Manufacturing,Web Apps",4,100.0,Île-de-France,500000
Breachway Capital,breachwaycapital.com,Boston,USA,2026-02-02T18:09:34.622000,2026-02-02T18:09:34.622000,Sinjon Goldberg,B,SW,"Finance,Financial Services,Venture Capital",3,0.0,Massachusetts,
Breakout Learning,breakoutlearning.com,Dallas,USA,2026-01-30T15:43:55.670000,2026-01-30T15:43:55.670000,Justin Chung,A,SW,"Artificial Intelligence (AI),E-Learning,Education",54,23.0,Texas,
Breedr,breedr.co,Austin,USA,2026-01-30T17:20:13.603000,2026-01-30T17:20:13.603000,Nikki Schwenk,S2,SW,"Agriculture,SaaS,Supply Chain Management",39,22.0,Texas,17502895
Breezy,breezy.io,London,GBR,2026-02-04T10:42:00,2026-02-04T10:42:00,None,B,None,"Business Intelligence,Collaboration,Digital Marketing,Software",14,0.0,"London, City of",732148
Brevity,brevitypitch.com,Minneapolis,USA,2026-02-04T10:58:36.367000,2026-02-04T10:58:36.367000,Trevor Eckler,A,SW,"Artificial Intelligence (AI),Generative AI",39,457.0,Minnesota,800000
Brevium,brevium.com,American Fork,USA,2026-02-04T17:05:00,2026-02-04T14:33:57.717000,Michael Brannan,S2,SW,"Health Care,Information Technology,Medical,Software",78,34.0,Utah,4000000
Briano,briano.ai,Madison,USA,2026-02-04T10:02:21.273000,2026-02-04T10:02:21.273000,Cassidy Piersiak,B,I&C,"Artificial Intelligence (AI),Chatbot,SMS",4,100.0,New York,
Briar Hall,briarhall.net,None,None,2026-01-31T14:20:42.871761,2026-01-31T14:20:42.871761,Larry Cheng,A,I&C,None,,,,
Bridge,bridge.financial,Lehi,USA,2026-01-28T09:02:19.620000,2026-01-28T09:02:19.620000,Chad Kemmerer,B,SW,"Finance,Financial Services,FinTech",10,25.0,Utah,200000
Brooksee,brooksee.com,Cedar Hills,USA,2026-01-29T15:32:41.516000,2026-01-29T15:32:41.516000,Hannah Ditmars,B,SW,"Event Management,Fitness,Training",34,3.0,Utah,765000
Bryx,bryx.com,New York,USA,2026-01-28T14:25:00,2026-01-28T14:25:00,Ella Steinhilber,B,SW,"Information Technology,Public Safety,SaaS,Software",38,12.0,New York,
Bud Systems,bud.co.uk,Bristol,GBR,2026-02-03T13:41:16.979000,2026-02-03T13:41:16.979000,None,S1,None,"Information Technology,Management Information Systems,Software",60,5.0,"Bristol, City of",3435348
BudgetGPT,budgetgpt.io,Lufkin,USA,2026-02-04T18:34:50.212000,2026-02-04T18:34:50.212000,Juliet Fitzgerald,C,I&C,"Financial Services,Personal Finance,Software",,,TX,
Building Radar,buildingradar.com,Munich,GER,2026-02-03T22:23:28.126000,2026-02-03T22:23:28.126000,Justin Chung,B,SW,"Artificial Intelligence (AI),Big Data,Construction,Lead Generation",118,36.0,Bavaria,12594731
Buildr,buildr.com,Irvine,USA,2026-02-02T19:13:43.591000,2026-02-02T19:13:43.591000,Nikki Schwenk,A,SW,None,32,23.0,California,
Bulba,bulba.app,London,GBR,2026-01-30T08:51:05.338000,2026-01-30T08:51:05.338000,Ainsley Radell,B,I&C,"Advertising,Information Technology,Internet,Marketing,Software",17,70.0,"London, City of",295665
Bump Connect,bumpconnect.xyz,Minneapolis,USA,2026-01-29T09:00:38.610000,2026-01-29T09:00:38.610000,Cassidy Piersiak,B,I&C,None,11,10.0,Minnesota,750000
ByteBrew,bytebrew.io,San Diego,USA,2026-01-28T18:25:40.448000,2026-01-28T18:25:40.448000,Isabelle Tashima,A,I&C,"Analytics,Developer APIs,Developer Platform,Developer Tools,Gaming,Mobile Advertising",15,50.0,California,4000000
"Connect 981, C-981",c-981.com,None,None,2026-01-28T09:42:00,2026-01-28T09:42:00,Hannah Ditmars,C,SW,None,,,,
Capintel,capintel.io,Toronto,CAN,2026-01-28T12:53:21.107000,2026-01-28T12:53:21.107000,Justin Chung,S2,SW,"Advice,Finance,Financial Services,Personal Finance,Wealth Management",,,ON,
Captello,captello.com,Dallas,USA,2026-02-04T14:49:36.522000,2026-02-04T14:49:36.522000,Nikki Schwenk,S2,SW,"Digital Marketing,Information Technology,Software",52,37.0,Texas,
CARDO AI,cardoai.com,Milan,ITA,2026-01-30T17:27:19.058881,2026-01-30T11:01:40.461000,Nikki Schwenk,S2,SW,"Artificial Intelligence (AI),Financial Services,FinTech,Software",124,27.0,Lombardy,18947015
CarePoint365,carepoint365.co.uk,London,GBR,2026-02-03T12:23:32.118490,2026-02-03T12:22:55.014000,None,C,None,"CRM,Information Technology,Software",13,44.0,"London, City of",
Caribou,caribou.care,Toronto,CAN,2026-02-06T10:59:00,2026-02-06T10:59:00,Ella Steinhilber,S2,SW,"Apps,Health Care,Software",57,24.0,Ontario,
Carver Edison,carveredison.com,New York,USA,2026-02-06T15:45:10.725000,2026-02-06T15:45:10.725000,Ainsley Radell,S3,I&C,"Financial Services,FinTech",11,22.0,New York,250000
Cassidy,cassidyai.com,New York,USA,2026-02-02T16:02:49.580000,2026-02-02T16:02:49.580000,Nikki Schwenk,A,SW,None,42,68.0,New York,14325000
Cast,castfinance.com,Denver,USA,2026-01-28T13:12:43.552000,2026-01-28T13:12:43.552000,Cassidy Piersiak,B,I&C,"Accounting,Financial Services,FinTech",25,178.0,Colorado,2295000
Chalkboard,chalkboard.io,New York,USA,2026-02-02T14:45:35.637411,2026-01-30T13:33:18.258000,Danielle Brown,S2,I&C,Information Technology,60,76.0,New York,575000
Chartmetric,chartmetric.com,San Mateo,USA,2026-02-04T14:01:39.779901,2026-02-03T16:32:27.369000,Ella Steinhilber,B,SW,"Analytics,Data Visualization,Machine Learning,Music",52,0.0,California,2000000
Chase,chase.com,New York,USA,2026-02-02T15:51:06.154650,2026-02-02T15:51:06.154650,Roger Hurwitz,None,SW,"Banking,Financial Services",33978,6.0,New York,
Checkmate,checkmateforbrands.com,San Francisco,None,2026-02-02T08:23:26.883000,2026-01-28T18:26:27.903000,Ainsley Radell,S2,I&C,None,78,,,
Cheers Cash,cheerscash.com,New York,USA,2026-01-28T10:47:29.264000,2026-01-28T10:47:29.264000,Cassidy Piersiak,C,I&C,None,5,67.0,New York,
CHIIRP,chiirp.com,American Fork,USA,2026-02-02T11:44:50.670000,2026-02-02T11:44:50.670000,Trevor Eckler,S3,SW,"Information Services,Online Portals,Small and Medium Businesses,Software",42,68.0,Utah,
CircKit,circkit.com,Manchester,GBR,2026-01-29T10:05:15.341000,2026-01-29T10:05:15.341000,Ainsley Radell,C,I&C,"Compliance,Enterprise Software,Environmental Consulting,Information Technology,Product Design,SaaS,Software,Sustainability",13,86.0,Manchester,2509393
Clean Power Research,cleanpower.com,Napa,USA,2026-02-06T12:29:36.210223,2026-01-28T13:43:43.544000,Ella Steinhilber,S2,SW,"Clean Energy,CleanTech,Energy,Software,Solar",,,CA,199627
CRIO,clinicalresearch.io,Boston,USA,2026-01-28T11:35:31.764802,2026-01-28T11:35:16.278000,None,B,None,"Clinical Trials,Data Storage,Information Technology,Management Information Systems",118,24.0,Massachusetts,19000005
CloneOps.ai,cloneops.ai,Fort Lauderdale,USA,2026-01-29T13:58:14.682615,2026-01-29T13:36:08.713000,None,C,None,"Artificial Intelligence (AI),Internet,Software",23,1050.0,Florida,
Closer Conveyancing,closer.ca,London,CAN,2026-02-02T15:13:41.667000,2026-02-02T15:13:41.667000,Justin Chung,A+,SW,None,55,34.0,Ontario,
Clueso,clueso.io,San Francisco,USA,2026-01-28T15:59:12.962000,2026-01-28T15:59:12.962000,Nikki Schwenk,B,SW,"Artificial Intelligence (AI),SaaS,Software",24,100.0,California,1900000
Clym,clym.io,Wilmington,USA,2026-02-03T09:10:47.968000,2026-02-03T09:10:47.968000,Michael Brannan,B,SW,"B2B,Compliance,Data Governance,Privacy,Risk Management",31,15.0,Delaware,
cognext.ai,cognext.ai,New York,USA,2026-02-06T10:27:03.397000,2026-02-06T10:27:03.397000,Trevor Eckler,C,SW,"Financial Services,Risk Management,Software",68,3.0,New York,
ColdIQ,coldiq.com,London,GBR,2026-01-28T11:51:11.693000,2026-01-28T11:51:11.693000,Nikki Schwenk,A,SW,"Advertising,B2B,Professional Services,SaaS",47,74.0,"London, City of",
Comparesoft,comparesoft.com,London,GBR,2026-01-28T17:51:28.813709,2026-01-28T17:51:00.926000,None,B,None,"Enterprise Software,Machine Learning,Search Engine,Software",11,-8.0,"London, City of",1395281
ComplyStream,complystream.com,London,GBR,2026-02-05T16:29:53.142000,2026-02-05T16:29:53.142000,Chad Kemmerer,C,SW,"Artificial Intelligence (AI),Compliance,FinTech",8,700.0,"London, City of",568000
Karta,conkarta.com,Miami,USA,2026-02-02T15:43:16.314000,2026-02-02T15:43:16.314000,Juliet Fitzgerald,B,I&C,"Credit Cards,Financial Services",18,350.0,Florida,5400000
Contractor Commerce,contractorcommerce.com,Lebanon,USA,2026-02-02T13:25:11.923000,2026-02-02T13:25:11.923000,Carolyn Woll,S3,I&C,"E-Commerce,Information Technology,Internet",36,50.0,Ohio,
Contractor Foreman,contractorforeman.com,Carolina,USA,2026-02-06T13:02:00,2026-02-06T13:02:00,Michael Brannan,S3,SW,"Apps,Construction,Project Management,Software",67,91.0,North Carolina,
Cookie Finance,cookiefinance.co,Richmond,USA,2026-02-02T21:09:07.468157,2026-01-29T11:21:27.743000,Cassidy Piersiak,S2,I&C,Financial Services,61,69.0,Virginia,4000000
Cove,cove.dev,Toronto,CAN,2026-02-03T10:32:50.587000,2026-02-03T10:32:50.587000,Cassidy Piersiak,B,I&C,None,8,14.0,Ontario,100000
CraftGate,craftgate.io,Kadikoy,TUR,2026-02-02T15:49:08.422000,2026-02-02T15:49:08.422000,Isabelle Tashima,S2,I&C,"Financial Services,FinTech,Payments",,,,3000000
Credal.ai,credal.ai,New York,USA,2026-02-04T10:39:26.911000,2026-02-04T10:39:26.911000,Nikki Schwenk,B,SW,"Artificial Intelligence (AI),Information Technology,Internet,Software",13,63.0,New York,10300000
Crossover Research,crossoverresearch.com,New York,USA,2026-02-03T17:19:49.363461,2026-02-03T16:39:06.503000,None,C,None,"Artificial Intelligence (AI),B2B,Consulting,SaaS",12,140.0,New York,
